region,value
IN-AN,46
IN-AP,304
IN-AR,17
IN-AS,398
IN-BR,1106
IN-CG,189
IN-CH,9258
IN-DH,973
IN-DL,11320
IN-GA,394
IN-GJ,308
IN-HP,123
IN-HR,573
IN-JH,414
IN-KA,319
IN-KL,860
IN-LD,2015
IN-MH,365
IN-ML,132
IN-MN,128
IN-MP,236
IN-MZ,52
IN-NL,119
IN-OD,270
IN-PB,551
IN-PY,2547
IN-RJ,200
IN-SK,86
IN-TN,555
IN-TR,350
IN-TS,312
IN-UK,189
IN-UP,829
IN-WB,1028
